Año,2010,2010.1,2010.2,2010.3,2011,2011.1,2011.2,2011.3,2012,2012.1,2012.2,2012.3,2013,2013.1,2013.2,2013.3,2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022,2022.1,2022.2,2022.3,2023,2023.1
111 - Agricultura,,125516.55800000002,-142709.876,118087.51000000001,-93685.52400000003,37552.33600000001,-67381.696,128568.908,-84187.44099999999,91150.853,-131175.858,177140.43200000003,-126746.83200000005,121966.92500000005,-146430.90600000002,178014.809,-127516.54800000001,107210.69400000002,-130245.53900000005,157495.608,-107882.36799999996,71419.788,-137425.326,202380.95199999993,-138959.03899999993,96327.41699999996,-117681.41499999998,188350.02400000003,-131699.76900000003,78672.75499999995,-142080.31099999993,224590.325,-136108.684,78477.88300000003,-168808.10000000003,233230.06199999998,-129078.32400000002,56937.61600000004,-153180.028,206066.305,-129393.04999999999,63544.30699999997,-111639.40899999999,180495.777,-132501.794,101069.26699999999,-163117.22000000003,224617.07100000005,-161263.78600000002,100790.38699999993,-153588.66899999994,275658.548,-213134.076,102883.47199999995
112 - Cría y explotación de animales,,8952.847999999998,11281.49900000001,4031.2299999999814,-22993.019,6559.290999999997,18093.05600000001,4246.154999999999,-23641.358999999997,10416.152000000002,7798.4100000000035,4845.934999999998,-26585.125,6574.685999999987,8379.758000000002,6851.676999999996,-21197.29699999999,10406.725000000006,6956.698999999993,8067.795000000013,-21762.398000000016,10038.448000000004,9351.790000000008,4194.540999999997,-26145.97,8830.100000000006,8959.111999999994,7725.226999999984,-24186.516999999993,9710.84599999999,14485.252000000008,7588.966000000015,-25315.256000000023,8761.95200000002,12908.896000000008,9370.911999999982,-27427.948999999993,10245.188999999984,14157.599000000017,10036.939000000013,-27096.522000000026,9202.54800000001,18185.242,8146.071999999986,-30945.824999999983,11930.356999999989,13298.190000000002,9604.193000000028,-28283.552000000025,12156.858999999997,12978.391999999993,9647.363000000012,-30631.516999999993,13189.45299999998
113 - Aprovechamiento forestal,,2315.0960000000014,-1932.4619999999995,2646.3679999999986,-4158.132999999998,3793.084999999999,-2415.4609999999993,3137.0469999999987,-3498.999,3492.803,-3020.9929999999986,1973.0849999999991,-2781.4350000000013,2488.380000000001,-2697.6749999999993,2534.9379999999983,-2176.1359999999986,2102.4559999999983,-1744.565999999999,1179.4069999999992,-119.68000000000029,1080.2710000000006,-2032.5190000000002,1639.5529999999999,-1426.9300000000003,2472.8560000000034,-881.5920000000006,2169.459999999999,-1417.671000000002,1874.8990000000013,-1496.9300000000003,1046.0550000000003,-1262.8099999999977,1599.548999999999,-1333.2170000000006,784.9619999999995,-928.5030000000006,945.7610000000022,-969.8919999999998,1863.7329999999965,936.617000000002,-3781.215,3272.9799999999996,3053.189000000002,-3977.1980000000003,558.6129999999976,339.59500000000116,1045.3909999999996,-1108.7870000000003,-1855.6899999999987,708.1389999999992,1682.5720000000001,-1665.3379999999997,-1414.8359999999993
"114 - Pesca, caza y captura",,-399.28600000000006,-569.9840000000004,3014.446,-4031.2999999999993,791.6300000000001,1672.8509999999997,3161.370999999999,-5215.7029999999995,841.4369999999999,584.4670000000006,2398.312,-3471.657,262.7330000000002,1109.2870000000003,3986.0870000000004,-4286.636,189.10299999999916,647.5890000000009,3728.8769999999995,-1997.1530000000002,-2573.893,1834.1239999999998,6249.491,-6253.835999999999,-818.1819999999998,1674.624999999999,5727.285,-7305.566999999999,-802.1990000000005,2097.3870000000006,4958.419,-6148.0160000000005,483.32900000000063,603.5949999999993,3100.251,-5906.139,654.665,137.35500000000047,3190.5150000000003,-3158.1410000000005,-1154.6639999999998,231.067,3123.9450000000006,-2658.3250000000007,472.3580000000002,-2.7700000000004366,3718.9750000000004,-4046.999,-735.5880000000006,635.2080000000005,3644.6899999999996,-3751.5059999999994,-107.21800000000076
115 - Servicios relacionados con las actividades agropecuarias y forestales,,113.79100000000017,-799.5710000000004,200.3409999999999,-63.85299999999961,-25.21100000000024,-168.4359999999997,761.989,-73.63299999999981,162.82399999999961,-481.15700000000015,1047.442,-701.1779999999999,881.5039999999999,-1205.9589999999998,803.8670000000002,48.92999999999938,377.47299999999996,-973.7649999999994,772.7439999999997,-43.197000000000116,-380.89899999999943,-127.79600000000028,768.0410000000002,-885.6260000000002,1030.5,-344.04399999999987,613.4439999999995,-1102.7519999999995,803.0799999999999,-151.51199999999972,1598.0189999999993,-1683.9339999999993,570.4929999999995,-855.8900000000003,2096.4770000000008,-1686.9140000000007,62.4320000000007,-341.7629999999999,1666.0329999999994,-950.8999999999996,-268.9490000000005,-1026.3759999999993,2045.071,-1114.4680000000008,145.66000000000076,-634.5390000000007,2214.2030000000004,-1581.6440000000002,-36.03600000000006,-774.1729999999998,2350.184,-1169.1370000000006,-291.58799999999974
211 - Extracción de petróleo y gas,,1163.9610000000102,8820.326000000001,-7981.067000000039,-9380.687000000034,3436.1040000000503,-4007.347999999998,1456.3479999999981,-6519.072000000044,-403.25699999998324,7726.21100000001,-118.16700000001583,-17253.05799999996,-2437.5250000000233,6742.646000000066,5028.478000000003,-19519.964000000036,1511.2069999999367,-12906.072999999975,-13804.542999999947,-29304.775000000023,-22618.180999999982,24300.55799999996,350.81500000006054,-22709.465000000084,-21332.997999999905,-9559.331000000006,-27653.436000000103,-30310.657999999938,1087.9899999999907,-42018.947000000044,-7346.323999999906,-11525.110000000102,-4701.063999999897,-8201.47100000002,-35188.74600000004,-30217.13500000001,3620.871999999974,14680.128000000026,1361.7079999999842,7868.145000000019,-22972.219999999972,4352.798999999999,3906.8029999999562,-1069.2260000000242,13380.052000000025,10598.125,7444.074000000022,-4716.912000000011,10192.439000000013,11173.430000000051,2572.2339999999385,601.1700000000419,14304.429000000004
"212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",,10837.582999999984,-3617.8179999999993,8222.861999999994,-4261.258000000002,20187.641000000003,-5721.872999999992,10522.815000000002,14206.31700000001,4805.677999999985,-10725.55799999999,177.17499999998836,21597.68299999999,-830.3910000000033,-17835.378999999986,16561.419000000024,-11762.44100000002,14096.447000000015,-6215.4130000000005,6115.842000000004,-6075.197000000044,43.98800000001211,2718.3330000000424,-3660.619000000035,1925.8849999999802,14654.041000000027,-2512.107000000018,2243.079000000027,-9113.343999999983,10598.771999999997,-7923.8429999999935,2028.161999999953,-5580.554999999993,5476.543999999994,-14023.579999999987,1494.5320000000065,-11846.765000000014,2847.99000000002,2396.6509999999835,7590.09600000002,6552.192999999999,-51712.455000000016,59498.00099999999,13653.531000000017,-17918.256999999983,-689.0,-1159.3490000000456,6526.794000000053,1869.2219999999506,-1410.2770000000019,-338.15499999996973,7455.795999999973,-6815.156999999948,-3738.7490000000107
213 - Servicios relacionados con la minería,,17841.481,-18143.804999999993,-11242.17300000001,1675.2750000000087,6015.756999999998,3511.8830000000016,17366.498999999996,-24108.252000000008,5702.894,5184.763000000006,12701.275999999998,-23351.879,1225.1940000000031,10691.164999999994,8790.935000000012,-10674.388000000006,-8916.797000000006,17378.202000000005,-9279.164999999994,6109.106999999989,-7232.890999999989,-4951.994000000006,-10205.243000000002,14595.974000000002,-19646.731,3770.900999999998,2761.63900000001,1467.7799999999988,-9717.167000000009,4153.042000000001,-1312.4349999999977,-1224.5690000000031,-2370.784999999996,3022.4190000000017,-2335.1340000000055,9201.102999999996,-6572.147999999994,18084.928999999996,-7718.872999999992,9586.054999999993,-12973.371,2253.377999999997,-15254.802999999993,8641.272000000004,-2792.297000000006,9501.86,-9833.385000000002,7458.072999999997,6458.864000000001,-6413.001999999993,6919.75,3030.82699999999,-1659.2449999999953
"221 - Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,28805.506999999983,29675.396999999997,-27410.925999999978,-5829.527000000002,32932.034999999974,20412.076,-30323.044999999984,-14886.28899999999,29929.400000000023,19292.08799999999,-29958.663,-16106.533999999985,33313.695999999996,21439.142999999982,-31361.017999999982,777.2289999999921,34255.712,20516.76000000001,-31471.504000000015,-19420.640000000014,26839.261999999988,31780.51900000003,-28075.864,-38495.330000000016,40622.739,23078.896000000008,-33477.625,-6607.63400000002,36397.563000000024,21144.381999999983,-32283.717000000004,-23224.140000000014,41958.56700000004,33393.80900000001,-47526.663,-54326.39600000001,41121.68599999999,34113.674,-36722.44900000002,-31429.322999999975,-2237.447999999975,51515.84899999999,-47165.92300000001,-104636.54100000003,29048.59500000003,15415.99900000001,-27278.49100000004,-3144.592000000004,38228.989,17364.934999999998,-31589.840999999957,-8878.926000000036,26289.939000000013
